#,Tracker,Status,Priority,Subject,Assignee,Updated,Description
21414,Ошибка,Новая,Нормальный,[L10N] Нет локализации Экваториальной Гвинеи,Михаил Григорьев,07/12/2023 08:44 PM,"Язык Экваториальной Гвинеи является Испанским

*Шаги:* 
1. Зайти на сайт
2. Выбрать страну ""Guinea""
3. Установить возраст 18+

*Ожидаемый рез.:* Сайт будет на Испанской локализации
*Фактический рез.:* Сайт на Английской локализации

https://prnt.sc/RsyQ2y35eqU_"
21413,Ошибка,Новая,Нормальный,Відсутня тайська локалізація на сайті Hennessy,Михаил Григорьев,07/12/2023 08:45 PM,"*Алгоритм дій:*
1) Відкрити сайт hennessy.com
2) Обрати країну Таїланд"
21412,Ошибка,Новая,Нормальный,Отсутствует локализация на языке Дзонг-кэ для Bhutan,Anastasiia Yeromenko,07/12/2023 08:44 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:* Переведено на Дзонг-кэ
*Фактический результат:* Не переведено на Дзонг-кэ
https://prnt.sc/Rp5Ib6jKsy_0"
21411,Ошибка,Новая,Нормальный,[L10N] Отсутствуют малайский язык в малайской версии сайта https://www.hennessy.com,Михаил Григорьев,07/12/2023 08:42 PM,"Шаги воспроизведения:
1) Открыть сайт
2) Переходим в Каталог стран
3) Выбираем Малави

Ожидаемый результат: Сайт перешел на малайский язык локализации
Фактический результат : сайт перешел на английский язык локализации

https://prnt.sc/Mldv-1KsxI-X"
21410,Ошибка,Новая,Нормальный,L10N,Михаил Григорьев,07/12/2023 08:42 PM,"  Шаги воспроизведения: 1. Открываем официальный сайт Hennessy
                        2. Регистрируемся как бразилец.

 Ожидаемый результат:   При регистрации страны Бразилия сайт на португальской локализации.

 Фактический результат: При регистрации страны Бразилия сайт на английской локализации.

 Сcылка: https://www.hennessy.com/en-int"
21409,Ошибка,Новая,Нормальный,Отсутствует испанская локализация на сайте при переходе на Гватемала,Михаил Григорьев,07/12/2023 08:42 PM,"*Шаги воспроизведения:*
1.Зайти на сайт https://www.hennessy.com/en-int
2.Выбрать страну Гватемала
3.Выбрать 1983 год

*Ожидаемый результат:*
Сайт переведен на испанский

*Фактический результат:*
Сайт на английском языке
https://gyazo.com/974f4c9f1ec9f7cf8fa67175d622ca40"
21408,Ошибка,Новая,Нормальный,Отсутствует локализация на языке Французкий для Benin,Anastasiia Yeromenko,07/12/2023 08:40 PM,"*Шаги воспроизведения:*
1) Открыть сайт

*Ожидаемый результат:* Переведено на Французкий
*Фактический результат:* Не переведено на Французкий
https://prnt.sc/Rp5Ib6jKsy_0"
21407,Ошибка,Новая,Нормальный,"Отсутсвует локализация ""Czech Republic"" на сайте https://www.hennessy.com/en-int",Михаил Григорьев,07/12/2023 08:39 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://www.hennessy.com/en-int
2) Во всплывающем окне в блоке ""COUNTRY / REGION*"" выбрать регион ""Czech Republic"", в блоке ""YEAR OF BIRTH*"" выбрать 2005

*Ожидаемый результат:* присутствует локализация ""Czech Republic"" на сайте https://www.hennessy.com/en-int
*Фактический результат:* отсутствует локализация ""Czech Republic"" на сайте https://www.hennessy.com/en-int

https://gyazo.com/20d10b78935f37f10ade5f0bb196ff04"
21406,Ошибка,Новая,Нормальный,Не пропускает на сайт из-за возраста,Михаил Григорьев,07/12/2023 08:38 PM,"*Описание:*  В Экваториальной Гвинее возраст распития спиртного не установлен

*Шаги:*
1. Открыть сайт
2. Выбрать страну ""Guinea(Гвинея)""
3. Поставить возраст от 2023 до 2006

*Ожидаемый рез.:* Сайт пустит нас дальше, т.к. мы не нарушаем правил своей страны
*Фактический рез.:* Сайт нас не пускает из-за недостаточного возраста

https://prnt.sc/6jsYeR7erLV1"
21405,Ошибка,Новая,Нормальный,[L10n] Отсутствует локализация для страны Israel,Лилия Вегнер ,07/12/2023 08:38 PM," На сайте отсутствует локализация на Иврит
*Шаги воспроизведения:*

1. Открыт сайт https://www.hennessy.com
2.Выбрать страну Israel
3.Выбрать соответствующий возраст
4.Нажать ""Enter""
5.Обратить внимание на локализацию сайта
 
 *Ожидаемый результат:* 
Сайт отображается на Иврите

*Актуальный результат:*
Сайт отображается на английском

*Браузер:*
Google Chrome
"
21404,Ошибка,Новая,Нормальный,Отсутствует локализация на Итальянском  языке,Михаил Григорьев,07/12/2023 08:35 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2)Указать страну и возраст

*Ожидаемый результат:*
Присутствует локализация на Итальянском

*Фактический результат:* 
Отсутствует локализация на Итальянском языке

https://prnt.sc/iNiYG92y5SmI"
21403,Ошибка,Новая,Нормальный,Локалізація на сайті не відповідає офіційній мові країни,Михаил Григорьев,07/12/2023 08:33 PM,"*Алгоритм дій:*
1) Відкрити сайт hennessy.com
2) Обрати країну Суринам

*Очікуваний результат:* Сайт відкривається нідерландською мовою
*Фактичний результат:* Локалізація на сайті не відповідає офіційній мові країни

https://gyazo.com/94c04ac112c790ed75124ab918836dde"
21402,Ошибка,Новая,Нормальный,[L10N] Нет Греческой локализации,Михаил Григорьев,07/12/2023 08:31 PM,"*Шаги Воспроизведения:*
1. Открыть сайт
2. Выбрать страну ""Greece""
3. Выбрать возраст 18+

*Ожидаемый результат:* Греческая локализация будет присутствовать
*Фактический результат:* Греческая локализация отсутствует

https://prnt.sc/-Ujd__c2yeIh"
21401,Ошибка,Новая,Нормальный,Отсутствует локализация на Испанском языке,Михаил Григорьев,07/12/2023 08:30 PM,"*Шаги воспроизведения:*
1) Открыть сайт
2)Указать страну и возраст

*Ожидаемый результат:*
Присутствует локализация на Испанском

*Фактический результат:*
Отсутствует локализация на Испанском языке

https://prnt.sc/l03KDxCRHDLS"
21400,Ошибка,Новая,Нормальный,Не пропускает на сайт из-за возроста,Михаил Григорьев,07/12/2023 08:27 PM,"*Описание:* В Гане возраст распития спиртного не установлен

*Шаги:*
1. Открыть сайт
2. Выбрать страну ""Ghana(Гана)""
3. Поставить возраст от 2023 до 2006

*Ожидаемый рез.:* Сайт пустит нас дальше, т.к. мы не нарушаем правил своей страны
*Фактический рез.:* Сайт нас не пускает из-за недостаточного возраста"
